Source,Target,Weight
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z165709803.txt,0.05967156460469919
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z167120501.txt,0.04259451150470413
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z170807203.txt,0.0037569909917602356
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z256471804.txt,0.005704581772410919
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z156843801.txt,0.06907636759788635
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z180628606.txt,0.06526236583092088
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185912505.txt,0.056262668027561004
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z158700100.txt,0.013777680419280906
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185142001.txt,0.09066782749666011
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z156771000.txt,0.05598528139371947
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z157598504.txt,0.008004831543074069
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185142207.txt,0.24035669280022615
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z15958790X.txt,0.04524640770276726
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185142104.txt,0.03347008619164125
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z197267901.txt,0.04027121398886822
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z178362103.txt,0.05702476465753357
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z204534306.txt,0.010288308815580485
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z160260500.txt,0.04785496156054532
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z170807409.txt,0.010472188355334124
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z253367704.txt,0.08348618653586555
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z184400900.txt,0.048860545915507175
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z182822001.txt,0.04255433842033438
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z159579604.txt,0.023581368867428495
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185157107.txt,0.06329161787983968
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z159588009.txt,0.04286606100221065
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z175034204.txt,0.043222388270457275
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z180631800.txt,0.057552981238401135
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z159579501.txt,0.028302839341555475
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z167120604.txt,0.03808930624760445
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z158160208.txt,0.07204664724674358
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z35076705.txt,0.01303043375951055
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z156577207.txt,0.006863387327298714
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z157583008.txt,0.0033050919739572968
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z15657730X.txt,0.010475578838355648
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z185157909.txt,0.06043470839107357
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z18515720X.txt,0.0371100550437704
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z256474908.txt,0.057178838882124466
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z224270704.txt,0.019619772122302773
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z169010905.txt,0.006295823199006107
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z25647300X.txt,0.06902615361942685
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168354106.txt,0.04339297682200966
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168096506.txt,0.060055046597453386
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z176245508.txt,0.06230951314038646
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z177009407.txt,0.04989181818382732
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z182900000.txt,0.007364758809272901
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z186388101.txt,0.02645337854398763
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168091302.txt,0.04297656703892583
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z184929303.txt,0.013252328623458123
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z175148507.txt,0.031705726687735594
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z18514390X.txt,0.0720763626619749
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z256472808.txt,0.02128523072672009
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168353709.txt,0.030403677025896723
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z176246604.txt,0.05001420420918065
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168353801.txt,0.03234293235737905
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z168091405.txt,0.025407830407251586
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z157711400.txt,0.02513016404594333
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z224214403.txt,0.0070132216185060485
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z164172903.txt,0.06874278790676205
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z164752105.txt,0.003613830322400593
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z165780108.txt,0.0468632369525952
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z184140306.txt,0.043238703322603905
/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z163300909.txt,/home/simonr/Workspaces/travelogues/travelogues-corpus/16th_century/books/Z18244920X.txt,0.007534089704892031
