cluster,barcode,abo_url
0,Z185143704,http://data.onb.ac.at/ABO/+Z185143704
1,Z168096506,http://data.onb.ac.at/ABO/+Z168096506
2,Z176245508,http://data.onb.ac.at/ABO/+Z176245508
3,Z256474908,http://data.onb.ac.at/ABO/+Z256474908
4,Z156771000,http://data.onb.ac.at/ABO/+Z156771000
5,Z18514390X,http://data.onb.ac.at/ABO/+Z18514390X
6,Z15958790X,http://data.onb.ac.at/ABO/+Z15958790X
7,Z185142001,http://data.onb.ac.at/ABO/+Z185142001
8,Z182822001,http://data.onb.ac.at/ABO/+Z182822001
9,Z180628606,http://data.onb.ac.at/ABO/+Z180628606
10,Z159579604,http://data.onb.ac.at/ABO/+Z159579604
10,Z159579501,http://data.onb.ac.at/ABO/+Z159579501
11,Z168353709,http://data.onb.ac.at/ABO/+Z168353709
11,Z168353801,http://data.onb.ac.at/ABO/+Z168353801
12,Z18515720X,http://data.onb.ac.at/ABO/+Z18515720X
12,Z168354106,http://data.onb.ac.at/ABO/+Z168354106
13,Z185142207,http://data.onb.ac.at/ABO/+Z185142207
13,Z185142104,http://data.onb.ac.at/ABO/+Z185142104
13,Z165780108,http://data.onb.ac.at/ABO/+Z165780108
14,Z163300909,http://data.onb.ac.at/ABO/+Z163300909
14,Z256472808,http://data.onb.ac.at/ABO/+Z256472808
14,Z176246604,http://data.onb.ac.at/ABO/+Z176246604
14,Z164172903,http://data.onb.ac.at/ABO/+Z164172903
15,Z159588009,http://data.onb.ac.at/ABO/+Z159588009
15,Z175034204,http://data.onb.ac.at/ABO/+Z175034204
15,Z168091302,http://data.onb.ac.at/ABO/+Z168091302
15,Z184140306,http://data.onb.ac.at/ABO/+Z184140306
16,Z253367704,http://data.onb.ac.at/ABO/+Z253367704
16,Z224270704,http://data.onb.ac.at/ABO/+Z224270704
16,Z25647300X,http://data.onb.ac.at/ABO/+Z25647300X
16,Z175148507,http://data.onb.ac.at/ABO/+Z175148507
16,Z224214403,http://data.onb.ac.at/ABO/+Z224214403
17,Z167120501,http://data.onb.ac.at/ABO/+Z167120501
17,Z158700100,http://data.onb.ac.at/ABO/+Z158700100
17,Z204534306,http://data.onb.ac.at/ABO/+Z204534306
17,Z182900000,http://data.onb.ac.at/ABO/+Z182900000
17,Z184929303,http://data.onb.ac.at/ABO/+Z184929303
17,Z168091405,http://data.onb.ac.at/ABO/+Z168091405
17,Z18244920X,http://data.onb.ac.at/ABO/+Z18244920X
18,Z165709803,http://data.onb.ac.at/ABO/+Z165709803
18,Z156843801,http://data.onb.ac.at/ABO/+Z156843801
18,Z178362103,http://data.onb.ac.at/ABO/+Z178362103
18,Z170807409,http://data.onb.ac.at/ABO/+Z170807409
18,Z185157107,http://data.onb.ac.at/ABO/+Z185157107
18,Z180631800,http://data.onb.ac.at/ABO/+Z180631800
18,Z167120604,http://data.onb.ac.at/ABO/+Z167120604
18,Z158160208,http://data.onb.ac.at/ABO/+Z158160208
18,Z185157909,http://data.onb.ac.at/ABO/+Z185157909
18,Z157711400,http://data.onb.ac.at/ABO/+Z157711400
18,Z185158008,http://data.onb.ac.at/ABO/+Z185158008
19,Z170807203,http://data.onb.ac.at/ABO/+Z170807203
19,Z256471804,http://data.onb.ac.at/ABO/+Z256471804
19,Z185912505,http://data.onb.ac.at/ABO/+Z185912505
19,Z157598504,http://data.onb.ac.at/ABO/+Z157598504
19,Z197267901,http://data.onb.ac.at/ABO/+Z197267901
19,Z160260500,http://data.onb.ac.at/ABO/+Z160260500
19,Z184400900,http://data.onb.ac.at/ABO/+Z184400900
19,Z35076705,http://data.onb.ac.at/ABO/+Z35076705
19,Z156577207,http://data.onb.ac.at/ABO/+Z156577207
19,Z157583008,http://data.onb.ac.at/ABO/+Z157583008
19,Z15657730X,http://data.onb.ac.at/ABO/+Z15657730X
19,Z169010905,http://data.onb.ac.at/ABO/+Z169010905
19,Z177009407,http://data.onb.ac.at/ABO/+Z177009407
19,Z186388101,http://data.onb.ac.at/ABO/+Z186388101
19,Z164752105,http://data.onb.ac.at/ABO/+Z164752105
19,Z156265702,http://data.onb.ac.at/ABO/+Z156265702
