barcode_a,barcode_b,doc2vec_distance,reissue
Z185142207,Z165780108,51.78361511230469,reissue
Z256471804,Z168353709,51.82886505126953,
Z224270704,Z164752105,51.882957458496094,
Z168354106,Z256472808,52.24007797241211,
Z256471804,Z168353801,52.24553680419922,
Z35076705,Z18244920X,52.251888275146484,
Z158700100,Z156577207,52.36543655395508,
Z185912505,Z35076705,52.70626449584961,
Z157583008,Z168091302,52.72625732421875,
Z224270704,Z156265702,52.74251937866211,
Z175034204,Z157583008,53.08787155151367,
Z170807203,Z185143704,53.09638214111328,
Z157598504,Z159588009,53.152523040771484,
Z158700100,Z156265702,53.20576858520508,
Z158700100,Z204534306,53.323856353759766,reissue
Z159588009,Z15657730X,53.32433319091797,
Z168091302,Z164752105,53.4095573425293,
Z15657730X,Z224270704,53.454124450683594,
Z253367704,Z224270704,53.78004837036133,
Z256472808,Z164172903,53.92461395263672,
Z175034204,Z164752105,54.027732849121094,
Z157583008,Z184140306,54.05840301513672,
Z157598504,Z168091302,54.11441421508789,
Z170807203,Z168353801,54.28181076049805,
Z170807203,Z168353709,54.31357955932617,
Z204534306,Z184929303,54.33219909667969,reissue
Z170807409,Z18515720X,54.39091491699219,
Z170807203,Z224270704,54.42698287963867,reissue
Z157583008,Z157711400,54.449424743652344,
Z157598504,Z175034204,54.48659896850586,
Z18515720X,Z168354106,54.501583099365234,reissue
Z170807409,Z156577207,54.5123291015625,
Z170807203,Z182822001,54.54024887084961,
Z157598504,Z184140306,54.6610107421875,
Z170807409,Z168353801,54.69206237792969,
Z175034204,Z15657730X,54.709747314453125,
Z15657730X,Z256472808,54.721614837646484,
Z159579604,Z156265702,54.7723503112793,
Z15657730X,Z168091302,54.797828674316406,
Z164752105,Z184140306,54.80428695678711,
Z158700100,Z157598504,54.92300033569336,reissue
Z185142104,Z169010905,54.94487762451172,
Z256471804,Z185142104,55.02030944824219,
Z185142104,Z224214403,55.0516471862793,
Z159579604,Z169010905,55.11906433105469,
Z224270704,Z168353709,55.14090347290039,
Z224270704,Z168353801,55.29581069946289,
Z170807409,Z168353709,55.33012008666992,
Z159579501,Z156265702,55.389835357666016,
Z170807409,Z35076705,55.52623748779297,
Z157711400,Z164752105,55.53031539916992,
Z224214403,Z164172903,55.538997650146484,
Z169010905,Z168096506,55.56333541870117,
Z158700100,Z169010905,55.589900970458984,
Z256471804,Z158700100,55.758907318115234,
Z170807409,Z185143704,55.83972930908203,
Z170807409,Z224270704,55.93244934082031,reissue
Z168354106,Z224214403,56.05237579345703,
Z185142104,Z164752105,56.059906005859375,
Z15657730X,Z184140306,56.119564056396484,
Z165709803,Z157583008,56.152442932128906,
Z204534306,Z168353801,56.20902633666992,
Z178362103,Z157711400,56.21394729614258,
Z224270704,Z168354106,56.27959442138672,
Z159579501,Z35076705,56.308349609375,
Z170807203,Z159588009,56.317134857177734,
Z157598504,Z224270704,56.362586975097656,reissue
Z158700100,Z224214403,56.39570999145508,reissue
Z170807409,Z182822001,56.4228630065918,
Z159588009,Z169010905,56.449798583984375,
Z204534306,Z168353709,56.51487731933594,
Z159579501,Z169010905,56.58173370361328,
Z256471804,Z164172903,56.5845832824707,
Z176245508,Z156265702,56.60739517211914,
Z256471804,Z159588009,56.623287200927734,
Z159588009,Z156265702,56.75674819946289,
Z185142104,Z157583008,56.81108093261719,
Z185142104,Z156265702,56.92265701293945,
Z180628606,Z157598504,56.968875885009766,
Z168353709,Z157711400,57.109371185302734,
Z180631800,Z169010905,57.127952575683594,
Z157598504,Z159579604,57.15568923950195,
Z185912505,Z169010905,57.19621658325195,
Z169010905,Z186388101,57.27653884887695,
Z168353801,Z157711400,57.283447265625,
Z169010905,Z165780108,57.341064453125,
Z170807203,Z168091302,57.35834884643555,
Z185142001,Z170807409,57.404762268066406,
Z157583008,Z168091405,57.41009521484375,
Z167120501,Z156265702,57.421775817871094,
Z35076705,Z256472808,57.53346252441406,
Z178362103,Z170807409,57.57383346557617,
Z170807409,Z185158008,57.57863998413086,
Z35076705,Z186388101,57.58725357055664,
Z170807409,Z176245508,57.65998458862305,
Z165709803,Z164752105,57.70281219482422,
Z170807409,Z18514390X,57.837120056152344,
Z157583008,Z168353709,57.85231399536133,
Z168091302,Z156265702,57.88888168334961,
Z159579604,Z15657730X,57.914642333984375,
Z185142104,Z256472808,57.91471862792969,
Z256471804,Z157711400,57.92479705810547,
Z184400900,Z169010905,58.06801986694336,
Z170807409,Z159588009,58.110191345214844,
Z157583008,Z168353801,58.138912200927734,
Z159579501,Z15657730X,58.18874740600586,
Z168091405,Z18244920X,58.24131393432617,
Z170807409,Z167120604,58.26103210449219,reissue
Z157598504,Z157711400,58.32151412963867,reissue
Z185912505,Z156265702,58.369415283203125,
Z165709803,Z170807409,58.379703521728516,
Z170807203,Z185142207,58.3831901550293,
Z182900000,Z168091405,58.38862228393555,
Z185157909,Z156265702,58.39237976074219,
Z168353709,Z164752105,58.43251419067383,
Z256471804,Z168091302,58.44220733642578,
Z169010905,Z168091302,58.44642639160156,
Z175034204,Z156265702,58.56889724731445,
Z182822001,Z256472808,58.56913757324219,
Z170807203,Z18515720X,58.652347564697266,
Z224270704,Z169010905,58.655372619628906,
Z170807203,Z175034204,58.664852142333984,
Z170807203,Z185158008,58.6739616394043,
Z182900000,Z256472808,58.67431640625,
Z168353801,Z164752105,58.72954177856445,
Z253367704,Z224214403,58.735992431640625,
Z169010905,Z177009407,58.74624252319336,
Z170807409,Z168091302,58.82113265991211,
Z159579604,Z35076705,58.85669708251953,
Z175034204,Z169010905,58.870574951171875,
Z170807203,Z178362103,58.89299011230469,
Z159579501,Z157583008,58.930213928222656,
Z168091405,Z164752105,58.93488311767578,
Z185912505,Z157598504,58.97677230834961,
Z159579604,Z164752105,58.978492736816406,
Z157598504,Z159579501,58.984283447265625,
Z15657730X,Z168091405,58.9865837097168,
Z157598504,Z165780108,58.986724853515625,
Z163300909,Z224214403,59.00135803222656,
Z25647300X,Z224214403,59.00511169433594,
Z167120501,Z164752105,59.01216125488281,
Z163300909,Z256472808,59.036529541015625,
Z159588009,Z156577207,59.05414581298828,
Z224270704,Z182900000,59.063995361328125,
Z165709803,Z157598504,59.06856155395508,
Z159579604,Z157583008,59.14873123168945,
Z256471804,Z175034204,59.157142639160156,
Z157583008,Z18515720X,59.168312072753906,
Z159588009,Z224214403,59.224876403808594,
Z170807203,Z184140306,59.30683517456055,
Z224270704,Z18244920X,59.33522415161133,
Z157598504,Z168091405,59.36594772338867,
Z170807409,Z185157909,59.38578796386719,
Z159579501,Z164752105,59.41938400268555,
Z197267901,Z169010905,59.422080993652344,
Z185142207,Z169010905,59.462890625,
Z185142001,Z185142104,59.479976654052734,
Z170807203,Z158700100,59.57686996459961,reissue
Z184140306,Z156265702,59.594173431396484,
Z170807203,Z180631800,59.60283660888672,
Z157598504,Z184400900,59.64766311645508,
Z256471804,Z25647300X,59.809898376464844,
Z159588009,Z182900000,59.81145477294922,
Z167120501,Z204534306,59.873085021972656,reissue
Z170807409,Z175034204,59.94540786743164,
Z167120501,Z157583008,59.94834518432617,
Z157598504,Z186388101,59.978309631347656,
Z256471804,Z184400900,60.01527404785156,
Z197267901,Z156265702,60.02137756347656,
Z168096506,Z164752105,60.02471923828125,
Z170807203,Z185157107,60.02767562866211,
Z169010905,Z168091405,60.06703567504883,
Z170807409,Z184140306,60.07706069946289,
Z170807203,Z180628606,60.083282470703125,
Z185157909,Z185158008,60.16783142089844,reissue
Z256471804,Z184140306,60.17613220214844,
Z156577207,Z176246604,60.190555572509766,
Z169010905,Z184140306,60.27632141113281,
Z256471804,Z168354106,60.280601501464844,
Z256471804,Z177009407,60.31867599487305,
Z167120604,Z156265702,60.38312911987305,
Z170807409,Z185157107,60.43144989013672,
Z170807203,Z158160208,60.4494743347168,
Z157598504,Z185142104,60.457000732421875,
Z256471804,Z159579501,60.46720886230469,
Z177009407,Z156265702,60.507572174072266,
Z170807203,Z167120604,60.51356887817383,reissue
Z256472808,Z18244920X,60.54898452758789,
Z163300909,Z256471804,60.576202392578125,
Z184400900,Z156265702,60.590850830078125,
Z256471804,Z159579604,60.64353942871094,
Z167120501,Z169010905,60.68084716796875,
Z204534306,Z168091405,60.70170211791992,
Z157598504,Z168096506,60.70556640625,
Z18515720X,Z164752105,60.7214469909668,
Z157711400,Z156265702,60.75867462158203,
Z167120604,Z169010905,60.76221466064453,
Z168091302,Z224214403,60.77688217163086,
Z157583008,Z176245508,60.782257080078125,
Z167120604,Z164752105,60.81827163696289,
Z167120501,Z18244920X,60.849308013916016,
Z182900000,Z168091302,60.86124801635742,
Z165709803,Z156265702,60.88643264770508,
Z180628606,Z169010905,60.92845916748047,
Z184400900,Z157583008,60.92951202392578,
Z180631800,Z157583008,60.96432876586914,
Z158700100,Z170807409,60.9661865234375,reissue
Z169010905,Z157711400,60.989261627197266,
Z170807203,Z18514390X,60.992919921875,
Z170807409,Z180631800,60.994483947753906,
Z175034204,Z182900000,61.01083755493164,
Z253367704,Z256472808,61.03556442260742,
Z157583008,Z168096506,61.0475959777832,
Z15657730X,Z186388101,61.0604133605957,
Z180631800,Z164752105,61.07943344116211,
Z170807203,Z168091405,61.079769134521484,
Z175034204,Z156577207,61.08102035522461,
Z165709803,Z170807203,61.09273910522461,
Z157598504,Z18515720X,61.11614227294922,
Z180628606,Z157583008,61.11711883544922,
Z157598504,Z176245508,61.152809143066406,
Z157598504,Z177009407,61.15676498413086,
Z204534306,Z253367704,61.17497253417969,
Z157583008,Z177009407,61.1750602722168,
Z180631800,Z35076705,61.17860794067383,
Z170807203,Z165780108,61.194766998291016,
Z170807203,Z177009407,61.218910217285156,
Z176245508,Z164752105,61.224971771240234,
Z164752105,Z165780108,61.23683166503906,
Z159588009,Z18244920X,61.25508117675781,
Z167120501,Z170807409,61.263221740722656,reissue
Z157583008,Z185143704,61.26969528198242,
Z180628606,Z156265702,61.2747802734375,
Z159579501,Z224214403,61.28278732299805,
Z159588009,Z224270704,61.33409881591797,
Z256471804,Z186388101,61.341064453125,
Z170807203,Z185157909,61.35773468017578,
Z156577207,Z168091302,61.41371154785156,
Z157711400,Z224214403,61.418209075927734,reissue
Z175034204,Z224214403,61.449913024902344,
Z170807203,Z168096506,61.510345458984375,
Z204534306,Z164172903,61.512733459472656,
Z180628606,Z164752105,61.5235595703125,
Z184400900,Z164752105,61.53436279296875,
Z184929303,Z224214403,61.55781936645508,reissue
Z180631800,Z156265702,61.56761169433594,
Z170807203,Z15958790X,61.57216262817383,
Z165709803,Z15657730X,61.58531951904297,
Z168354106,Z168353801,61.593082427978516,
Z224270704,Z164172903,61.599613189697266,
Z256471804,Z253367704,61.62278366088867,
Z168354106,Z168353709,61.62604904174805,
Z159588009,Z35076705,61.65461730957031,
Z168096506,Z156265702,61.6612434387207,
Z170807203,Z164172903,61.70661544799805,
Z177009407,Z164752105,61.73075866699219,
Z157583008,Z186388101,61.73444747924805,
Z167120604,Z157583008,61.76736831665039,
Z157598504,Z168353709,61.78765869140625,
Z159579604,Z18244920X,61.792755126953125,
Z170807203,Z184400900,61.81427001953125,
Z159579501,Z156577207,61.83624267578125,
Z164752105,Z185143704,61.88196563720703,
Z178362103,Z157583008,61.909297943115234,
Z169010905,Z175148507,61.91435241699219,
Z159579604,Z224214403,61.92634963989258,
Z185912505,Z164752105,61.942726135253906,
Z256471804,Z184929303,61.9648323059082,
Z224270704,Z168091302,61.98503875732422,
Z165709803,Z256471804,61.99405288696289,
Z157583008,Z165780108,61.997215270996094,
Z186388101,Z164752105,62.03379821777344,
Z182822001,Z157583008,62.078826904296875,
Z170807203,Z197267901,62.1281852722168,
Z165780108,Z156265702,62.141685485839844,
Z157598504,Z168353801,62.15782165527344,
Z185142207,Z170807409,62.17756271362305,
Z156577207,Z168354106,62.179176330566406,
Z175148507,Z224214403,62.217445373535156,
Z167120501,Z182900000,62.22334289550781,
Z168091405,Z224214403,62.22512435913086,
Z167120501,Z170807203,62.25312042236328,reissue
Z175034204,Z224270704,62.25499725341797,
Z159579604,Z182900000,62.274009704589844,
Z169010905,Z185143704,62.281227111816406,
Z170807409,Z168096506,62.290462493896484,
Z15958790X,Z170807409,62.30263137817383,
Z165709803,Z169010905,62.3057746887207,
Z182900000,Z184929303,62.3203239440918,
Z168091302,Z18244920X,62.32927703857422,
Z197267901,Z164752105,62.34309387207031,
Z182822001,Z164752105,62.37693786621094,
Z197267901,Z157583008,62.38154602050781,
Z182900000,Z184140306,62.395782470703125,
Z156843801,Z170807409,62.4110107421875,
Z18515720X,Z169010905,62.42890548706055,
Z157583008,Z185157909,62.49451446533203,
Z224270704,Z184140306,62.50371170043945,
Z185157909,Z164752105,62.52093505859375,
Z256471804,Z185142207,62.5452995300293,
Z170807409,Z168091405,62.58187484741211,
Z184400900,Z224214403,62.594993591308594,
Z175034204,Z18244920X,62.634033203125,
Z160260500,Z169010905,62.645511627197266,
Z185142207,Z224214403,62.64683151245117,
Z180628606,Z170807409,62.662803649902344,
Z170807203,Z160260500,62.66851043701172,
Z184929303,Z18244920X,62.696495056152344,
Z185912505,Z15657730X,62.697757720947266,
Z178362103,Z164752105,62.70083236694336,
Z204534306,Z25647300X,62.73045349121094,
Z164752105,Z185158008,62.769134521484375,
Z197267901,Z170807409,62.77619934082031,
Z204534306,Z159579604,62.803001403808594,
Z224214403,Z184140306,62.832908630371094,
Z157583008,Z168354106,62.846195220947266,
Z185912505,Z157583008,62.858070373535156,
Z156843801,Z169010905,62.8609733581543,
Z169010905,Z185158008,62.89458465576172,
Z156577207,Z184140306,62.93131637573242,
Z170807203,Z176245508,62.93478012084961,
Z256471804,Z175148507,62.940948486328125,
Z159588009,Z256472808,62.95539855957031,
Z156771000,Z169010905,62.976531982421875,
Z170807409,Z158160208,62.98625946044922,
Z170807203,Z168354106,62.99248504638672,
Z160260500,Z164752105,63.00215148925781,
Z185157909,Z224214403,63.03438186645508,
Z169010905,Z176245508,63.041770935058594,
Z185142207,Z164752105,63.04994201660156,
Z185142207,Z157583008,63.0882568359375,
Z185157909,Z169010905,63.09178161621094,
Z204534306,Z159579501,63.13200759887695,
Z224270704,Z168091405,63.135894775390625,
Z185158008,Z156265702,63.139644622802734,
Z156843801,Z156265702,63.139892578125,
Z256471804,Z168091405,63.16746139526367,
Z256471804,Z167120604,63.169063568115234,
Z156265702,Z185143704,63.181663513183594,
Z256471804,Z180631800,63.22698974609375,
Z170807203,Z185142001,63.2318229675293,
Z256471804,Z178362103,63.23589324951172,
Z157598504,Z160260500,63.243587493896484,
Z185142207,Z185142104,63.32682418823242,
Z170807203,Z156843801,63.353538513183594,
Z256471804,Z182822001,63.37885284423828,
Z157598504,Z253367704,63.40314865112305,
Z177009407,Z224214403,63.43741989135742,
Z180631800,Z224214403,63.439884185791016,
Z157598504,Z180631800,63.46599578857422,
Z157583008,Z185158008,63.483619689941406,
Z253367704,Z156265702,63.48896026611328,
Z15958790X,Z224270704,63.489723205566406,
Z156577207,Z168353709,63.5401725769043,
Z156577207,Z186388101,63.55418014526367,
Z25647300X,Z256472808,63.577186584472656,
Z156771000,Z15657730X,63.579402923583984,
Z184140306,Z18244920X,63.652992248535156,
Z253367704,Z157583008,63.675819396972656,
Z168091302,Z256472808,63.68458938598633,
Z156771000,Z156265702,63.688201904296875,
Z35076705,Z168091302,63.727630615234375,
Z18515720X,Z224214403,63.728145599365234,
Z157583008,Z18514390X,63.79352569580078,
Z157598504,Z185142207,63.83838653564453,
Z204534306,Z159588009,63.84559631347656,
Z256471804,Z197267901,63.863460540771484,
Z165709803,Z224214403,63.867759704589844,
Z256471804,Z185157909,63.86834716796875,
Z157598504,Z197267901,63.87056350708008,
Z35076705,Z224270704,63.872135162353516,
Z159579501,Z182900000,63.88682556152344,
Z167120501,Z256471804,63.89931106567383,
Z35076705,Z165780108,63.93318176269531,
Z256471804,Z165780108,63.9432487487793,
Z178362103,Z156265702,63.956356048583984,
Z175034204,Z35076705,63.992645263671875,
Z18515720X,Z156265702,64.00205993652344,
Z168354106,Z164752105,64.00938415527344,
Z15958790X,Z157583008,64.01057434082031,
Z159579604,Z156577207,64.02336883544922,
Z170807409,Z164172903,64.04727935791016,
Z167120604,Z256472808,64.06007385253906,
Z256471804,Z185143704,64.11298370361328,
Z256471804,Z168096506,64.15325927734375,
Z186388101,Z156265702,64.15409851074219,
Z170807409,Z168354106,64.16915893554688,
Z160260500,Z157583008,64.17394256591797,
Z156771000,Z157583008,64.20480346679688,
Z18514390X,Z164752105,64.20638275146484,
Z15958790X,Z164752105,64.22496795654297,
Z156843801,Z157598504,64.22755432128906,
Z256472808,Z176246604,64.32491302490234,
Z224214403,Z185158008,64.37450408935547,
Z185142207,Z156265702,64.39640045166016,
Z167120501,Z167120604,64.41001892089844,reissue
Z186388101,Z224214403,64.42167663574219,
Z170807203,Z185912505,64.45410919189453,
Z158700100,Z35076705,64.45557403564453,
Z158160208,Z157583008,64.45777893066406,
Z256471804,Z185158008,64.45782470703125,
Z256471804,Z156771000,64.45892333984375,
Z175034204,Z256472808,64.50715637207031,
Z170807203,Z156771000,64.55887603759766,
Z184929303,Z256472808,64.58213806152344,
Z156771000,Z164752105,64.5841064453125,
Z256471804,Z176246604,64.60127258300781,
Z185157107,Z157583008,64.6163330078125,
Z256471804,Z15958790X,64.61669158935547,
Z168096506,Z182900000,64.62529754638672,
Z224214403,Z165780108,64.6266098022461,
Z158160208,Z176246604,64.63658905029297,reissue
Z168353801,Z156265702,64.6599349975586,
Z178362103,Z224214403,64.66919708251953,
Z256472808,Z157711400,64.68733978271484,
Z160260500,Z15657730X,64.70189666748047,
Z253367704,Z164752105,64.709716796875,
Z157598504,Z185143704,64.73670959472656,
Z167120501,Z224214403,64.76264953613281,reissue
Z156577207,Z168353801,64.76696014404297,
Z185142104,Z35076705,64.76712799072266,
Z256471804,Z185157107,64.769775390625,
Z256471804,Z18515720X,64.77780151367188,
Z15657730X,Z176245508,64.81095886230469,
Z178362103,Z169010905,64.85134887695312,
Z15958790X,Z169010905,64.86073303222656,
Z256471804,Z185912505,64.92813873291016,
Z185142104,Z185158008,65.0248794555664,
Z204534306,Z168091302,65.03974914550781,
Z168353709,Z156265702,65.04821014404297,
Z167120501,Z157598504,65.0527572631836,reissue
Z159579501,Z18244920X,65.07247161865234,
Z170807409,Z253367704,65.0937728881836,
Z157711400,Z185143704,65.10160064697266,
Z167120604,Z224214403,65.12521362304688,reissue
Z176246604,Z224214403,65.14797973632812,
Z180628606,Z15657730X,65.1698226928711,
Z184929303,Z164752105,65.17716979980469,
Z185142104,Z158160208,65.18785095214844,
Z15657730X,Z184929303,65.1884765625,
Z156843801,Z164752105,65.2112045288086,
Z163300909,Z204534306,65.24201202392578,
Z170807203,Z175148507,65.24358367919922,
Z158160208,Z164752105,65.24518585205078,
Z170807409,Z165780108,65.25934600830078,
Z156771000,Z35076705,65.29154205322266,
Z157583008,Z175148507,65.29190826416016,
Z256471804,Z180628606,65.30894470214844,
Z157583008,Z184929303,65.32096099853516,
Z156577207,Z168091405,65.32563781738281,
Z169010905,Z18514390X,65.33804321289062,
Z204534306,Z175034204,65.36852264404297,
Z256471804,Z156843801,65.39022827148438,
Z158160208,Z169010905,65.39916229248047,
Z256471804,Z160260500,65.40021514892578,
Z180628606,Z224214403,65.40039825439453,
Z184400900,Z15657730X,65.4025650024414,
Z204534306,Z256474908,65.4051742553711,
Z170807203,Z159579501,65.43199920654297,
Z35076705,Z184140306,65.4474105834961,
Z156843801,Z157583008,65.45614624023438,
Z185157107,Z164752105,65.46626281738281,
Z165709803,Z157711400,65.50064086914062,
Z170807203,Z25647300X,65.50113677978516,
Z182822001,Z224214403,65.50961303710938,
Z256471804,Z158160208,65.5704116821289,
Z180628606,Z204534306,65.57279968261719,
Z170807203,Z159579604,65.58740997314453,
Z224214403,Z185143704,65.63864135742188,
Z185912505,Z224214403,65.72240447998047,
Z185142001,Z224214403,65.74324798583984,
Z204534306,Z168354106,65.74842834472656,
Z197267901,Z224214403,65.76286315917969,
Z170807203,Z186388101,65.81365203857422,
Z256472808,Z184140306,65.81369018554688,
Z158160208,Z224214403,65.86930084228516,
Z165709803,Z35076705,65.8703384399414,
Z160260500,Z156265702,65.90647888183594,
Z185157909,Z18244920X,65.91409301757812,
Z256474908,Z224214403,65.9144287109375,
Z15958790X,Z224214403,65.92382049560547,
Z180628606,Z182900000,65.93386840820312,
Z182900000,Z168353801,65.98158264160156,
Z169010905,Z168353709,66.02397918701172,
Z156771000,Z157598504,66.02848815917969,
Z256471804,Z176245508,66.08100128173828,
Z164172903,Z164752105,66.0861587524414,
Z15657730X,Z165780108,66.13565826416016,
Z180628606,Z18244920X,66.14995574951172,
Z25647300X,Z164172903,66.1538314819336,
Z157598504,Z168354106,66.15618896484375,
Z18514390X,Z156265702,66.15829467773438,
Z157583008,Z164172903,66.17213439941406,
Z163300909,Z170807203,66.17485809326172,
Z185142104,Z156577207,66.18950653076172,
Z167120604,Z18244920X,66.2073745727539,
Z185142104,Z18515720X,66.21037292480469,
Z175148507,Z164752105,66.25260925292969,
Z157598504,Z175148507,66.2527847290039,
Z167120501,Z15657730X,66.27275085449219,
Z156843801,Z35076705,66.2835464477539,
Z165709803,Z182900000,66.28598022460938,
Z157598504,Z167120604,66.29728698730469,reissue
Z256471804,Z256474908,66.3039321899414,
Z158700100,Z184929303,66.31675720214844,reissue
