a,b,num_pairs,normalized,url_a,url_b
Z158160208,Z185143704,272,0.26103646833013433,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z185143704
Z185142104,Z185158008,264,0.9705882352941176,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z185158008
Z185142104,Z168096506,264,0.31095406360424027,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z168096506
Z165709803,Z185912505,260,0.21052631578947367,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z185912505
Z185912505,Z156771000,260,0.2216538789428815,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z156771000
Z185912505,Z185157107,260,0.31630170316301703,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185157107
Z185912505,Z168354106,260,0.32338308457711445,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z168354106
Z185912505,Z185157909,260,0.3076923076923077,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185157909
Z185142001,Z184929303,252,0.7058823529411765,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z184929303
Z253367704,Z182822001,252,0.27184466019417475,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z182822001
Z253367704,Z25647300X,252,0.27783902976846747,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z25647300X
Z182822001,Z185143704,240,0.5454545454545454,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z185143704
Z156577207,Z185158008,240,0.8823529411764706,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z185158008
Z156577207,Z168096506,240,0.2826855123674912,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z168096506
Z180628606,Z182822001,238,0.2689265536723164,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z182822001
Z180628606,Z25647300X,238,0.2751445086705202,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z25647300X
Z25647300X,Z185143704,238,0.5666666666666667,http://data.onb.ac.at/ABO/+Z25647300X,http://data.onb.ac.at/ABO/+Z185143704
