Source,Target,Weight
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z14820750X.txt,0.08819279284703616
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16242830X.txt,0.0959732116410882
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z4212600X.txt,0.08440261246785817
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16183620X.txt,0.08361463745702556
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z14820960X.txt,0.097261206597948
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16338120X.txt,0.11149596497354723
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16174190X.txt,0.09359942929316555
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z12497610X.txt,0.09335208207863718
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z15562570X.txt,0.0763365117824065
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z4212550X.txt,0.09907957258104699
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z9808970X.txt,0.11778210164347688
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z9808550X.txt,0.12095341975360434
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z5639730X.txt,0.11717203553938248
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16639230X.txt,0.0890618162446013
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z5948520X.txt,0.08353156450137236
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16646940X.txt,0.08523774875138637
../../sample-data/random-samples/Z16442090X.txt,../../sample-data/random-samples/Z16009370X.txt,0.1061820842209455
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16242830X.txt,0.07610549616486778
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z4212600X.txt,0.08640815539251756
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16183620X.txt,0.06742772667542707
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z14820960X.txt,0.09951009721578666
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16338120X.txt,0.07860139072661243
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16174190X.txt,0.07576945991007787
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z12497610X.txt,0.08342629238550756
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z15562570X.txt,0.06162742116082023
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z4212550X.txt,0.0754449772130101
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z9808970X.txt,0.08273326432134061
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z9808550X.txt,0.08437910912627478
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z5639730X.txt,0.0960027462048974
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16639230X.txt,0.0724909217337557
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z5948520X.txt,0.07723260174486175
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16646940X.txt,0.07001023087570594
../../sample-data/random-samples/Z14820750X.txt,../../sample-data/random-samples/Z16009370X.txt,0.07784310644714029
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z4212600X.txt,0.07503939596630653
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16183620X.txt,0.0688772901887656
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z14820960X.txt,0.08607434898754053
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16338120X.txt,0.099775576313219
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16174190X.txt,0.08589122509114518
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z12497610X.txt,0.08516385459077187
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z15562570X.txt,0.07515938212566073
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z4212550X.txt,0.08336718517784603
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z9808970X.txt,0.09748076479084226
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z9808550X.txt,0.09844032578395887
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z5639730X.txt,0.09413036681950814
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16639230X.txt,0.07264241300150509
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z5948520X.txt,0.07935976502904799
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16646940X.txt,0.08698742093667827
../../sample-data/random-samples/Z16242830X.txt,../../sample-data/random-samples/Z16009370X.txt,0.0934021343966225
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z16183620X.txt,0.10817398212102611
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z14820960X.txt,0.08807701213137528
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z16338120X.txt,0.08072820696408453
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z16174190X.txt,0.0725039109852974
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z12497610X.txt,0.07959479463146152
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z15562570X.txt,0.09796025913472829
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z4212550X.txt,0.13346452105006673
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z9808970X.txt,0.08013154229555369
../../sample-data/random-samples/Z4212600X.txt,../../sample-data/random-samples/Z9808550X.txt,0.08330137007318308
