cluster,barcode,abo_url
34,Z168352900,http://data.onb.ac.at/ABO/+Z168352900
34,Z163301100,http://data.onb.ac.at/ABO/+Z163301100
34,Z166658906,http://data.onb.ac.at/ABO/+Z166658906
35,Z59497900,http://data.onb.ac.at/ABO/+Z59497900
35,Z163301409,http://data.onb.ac.at/ABO/+Z163301409
35,Z174822107,http://data.onb.ac.at/ABO/+Z174822107
35,Z166448602,http://data.onb.ac.at/ABO/+Z166448602
35,Z59498205,http://data.onb.ac.at/ABO/+Z59498205
35,Z175322805,http://data.onb.ac.at/ABO/+Z175322805
35,Z155523902,http://data.onb.ac.at/ABO/+Z155523902
35,Z174836908,http://data.onb.ac.at/ABO/+Z174836908
35,Z157588201,http://data.onb.ac.at/ABO/+Z157588201
35,Z156935501,http://data.onb.ac.at/ABO/+Z156935501
35,Z62785705,http://data.onb.ac.at/ABO/+Z62785705
35,Z185144204,http://data.onb.ac.at/ABO/+Z185144204
35,Z178386004,http://data.onb.ac.at/ABO/+Z178386004
35,Z180307607,http://data.onb.ac.at/ABO/+Z180307607
36,Z168351609,http://data.onb.ac.at/ABO/+Z168351609
36,Z168351403,http://data.onb.ac.at/ABO/+Z168351403
36,Z168351506,http://data.onb.ac.at/ABO/+Z168351506
36,Z168354003,http://data.onb.ac.at/ABO/+Z168354003
36,Z168354404,http://data.onb.ac.at/ABO/+Z168354404
36,Z168351105,http://data.onb.ac.at/ABO/+Z168351105
36,Z45456903,http://data.onb.ac.at/ABO/+Z45456903
36,Z168354301,http://data.onb.ac.at/ABO/+Z168354301
36,Z168354209,http://data.onb.ac.at/ABO/+Z168354209
36,Z163301306,http://data.onb.ac.at/ABO/+Z163301306
36,Z256482103,http://data.onb.ac.at/ABO/+Z256482103
36,Z168351300,http://data.onb.ac.at/ABO/+Z168351300
36,Z16835460X,http://data.onb.ac.at/ABO/+Z16835460X
36,Z168351701,http://data.onb.ac.at/ABO/+Z168351701
36,Z168354507,http://data.onb.ac.at/ABO/+Z168354507
37,Z185157600,http://data.onb.ac.at/ABO/+Z185157600
37,Z185144800,http://data.onb.ac.at/ABO/+Z185144800
37,Z205002705,http://data.onb.ac.at/ABO/+Z205002705
37,Z185144708,http://data.onb.ac.at/ABO/+Z185144708
37,Z18514440X,http://data.onb.ac.at/ABO/+Z18514440X
37,Z185157806,http://data.onb.ac.at/ABO/+Z185157806
37,Z185144605,http://data.onb.ac.at/ABO/+Z185144605
37,Z185145105,http://data.onb.ac.at/ABO/+Z185145105
37,Z185144502,http://data.onb.ac.at/ABO/+Z185144502
37,Z185145002,http://data.onb.ac.at/ABO/+Z185145002
37,Z105516004,http://data.onb.ac.at/ABO/+Z105516004
37,Z185144307,http://data.onb.ac.at/ABO/+Z185144307
37,Z185157508,http://data.onb.ac.at/ABO/+Z185157508
