cluster,barcode,abo_url
29,Z167243003,http://data.onb.ac.at/ABO/+Z167243003
29,Z25834107,http://data.onb.ac.at/ABO/+Z25834107
29,Z156326909,http://data.onb.ac.at/ABO/+Z156326909
29,Z156326806,http://data.onb.ac.at/ABO/+Z156326806
30,Z178232505,http://data.onb.ac.at/ABO/+Z178232505
30,Z175066102,http://data.onb.ac.at/ABO/+Z175066102
30,Z155180609,http://data.onb.ac.at/ABO/+Z155180609
30,Z178904805,http://data.onb.ac.at/ABO/+Z178904805
30,Z155180506,http://data.onb.ac.at/ABO/+Z155180506
30,Z161834706,http://data.onb.ac.at/ABO/+Z161834706
31,Z198357806,http://data.onb.ac.at/ABO/+Z198357806
31,Z207310208,http://data.onb.ac.at/ABO/+Z207310208
31,Z150702909,http://data.onb.ac.at/ABO/+Z150702909
31,Z98086308,http://data.onb.ac.at/ABO/+Z98086308
31,Z207310105,http://data.onb.ac.at/ABO/+Z207310105
31,Z164418709,http://data.onb.ac.at/ABO/+Z164418709
32,Z114800707,http://data.onb.ac.at/ABO/+Z114800707
32,Z160086901,http://data.onb.ac.at/ABO/+Z160086901
32,Z11480080X,http://data.onb.ac.at/ABO/+Z11480080X
32,Z148207006,http://data.onb.ac.at/ABO/+Z148207006
32,Z160256302,http://data.onb.ac.at/ABO/+Z160256302
32,Z116207209,http://data.onb.ac.at/ABO/+Z116207209
33,Z158072708,http://data.onb.ac.at/ABO/+Z158072708
33,Z186343403,http://data.onb.ac.at/ABO/+Z186343403
33,Z186343300,http://data.onb.ac.at/ABO/+Z186343300
33,Z97764108,http://data.onb.ac.at/ABO/+Z97764108
33,Z97761703,http://data.onb.ac.at/ABO/+Z97761703
33,Z186343208,http://data.onb.ac.at/ABO/+Z186343208
34,Z222104205,http://data.onb.ac.at/ABO/+Z222104205
34,Z22127520X,http://data.onb.ac.at/ABO/+Z22127520X
34,Z24633805,http://data.onb.ac.at/ABO/+Z24633805
34,Z222104400,http://data.onb.ac.at/ABO/+Z222104400
34,Z222104308,http://data.onb.ac.at/ABO/+Z222104308
34,Z222104503,http://data.onb.ac.at/ABO/+Z222104503
35,Z178425605,http://data.onb.ac.at/ABO/+Z178425605
35,Z156320506,http://data.onb.ac.at/ABO/+Z156320506
35,Z155180701,http://data.onb.ac.at/ABO/+Z155180701
35,Z155180907,http://data.onb.ac.at/ABO/+Z155180907
35,Z155180804,http://data.onb.ac.at/ABO/+Z155180804
35,Z178425708,http://data.onb.ac.at/ABO/+Z178425708
36,Z124931607,http://data.onb.ac.at/ABO/+Z124931607
36,Z170148803,http://data.onb.ac.at/ABO/+Z170148803
36,Z167115104,http://data.onb.ac.at/ABO/+Z167115104
36,Z69840205,http://data.onb.ac.at/ABO/+Z69840205
36,Z124974503,http://data.onb.ac.at/ABO/+Z124974503
36,Z124960401,http://data.onb.ac.at/ABO/+Z124960401
37,Z150702600,http://data.onb.ac.at/ABO/+Z150702600
37,Z116225200,http://data.onb.ac.at/ABO/+Z116225200
37,Z116225303,http://data.onb.ac.at/ABO/+Z116225303
37,Z150702806,http://data.onb.ac.at/ABO/+Z150702806
37,Z116225108,http://data.onb.ac.at/ABO/+Z116225108
37,Z150702703,http://data.onb.ac.at/ABO/+Z150702703
38,Z124975301,http://data.onb.ac.at/ABO/+Z124975301
38,Z197688906,http://data.onb.ac.at/ABO/+Z197688906
38,Z197688803,http://data.onb.ac.at/ABO/+Z197688803
38,Z148210005,http://data.onb.ac.at/ABO/+Z148210005
38,Z148207407,http://data.onb.ac.at/ABO/+Z148207407
38,Z124975404,http://data.onb.ac.at/ABO/+Z124975404
38,Z148210108,http://data.onb.ac.at/ABO/+Z148210108
39,Z163348700,http://data.onb.ac.at/ABO/+Z163348700
39,Z22207920X,http://data.onb.ac.at/ABO/+Z22207920X
39,Z159242907,http://data.onb.ac.at/ABO/+Z159242907
39,Z163348505,http://data.onb.ac.at/ABO/+Z163348505
